"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5441",5441,VW Golf Cabriolet 1800 (GL),5800,03.1989,188'000,98,Handschaltung,Benzin,6600 Locarno,2023-11-22,VW ,Golf ,Golf Cabriolet ,,FALSE
"5442",5442,SMART fortwo brabus 1st edition,6500,12.2002,100'334,70,Automatikgetriebe,Benzin,7172 Rabius,2023-11-22,SMART ,fortwo ,fortwo brabus ,,FALSE
"5443",5443,SAAB 900 SE 2.5i V6,4500,06.1995,150'100,170,Automatikgetriebe,Benzin,8050 Zürich,2023-11-22,SAAB ,900 ,900 SE ,,FALSE
"5444",5444,BMW 535i Touring xDrive Steptronic,12500,10.2013,194'000,306,Automatikgetriebe,Benzin,4104 Oberwil BL,2023-11-22,BMW ,535i ,535i Touring ,,FALSE
"5445",5445,SEAT Ibiza 1.0 EcoTSI DSG Swiss FR,18400,12.2019,60'000,115,Automatikgetriebe,Benzin,3018 Bern,2023-11-22,SEAT ,Ibiza ,Ibiza 1.0 ,,FALSE
"5446",5446,TESLA Model S 85 D Performance,35000,10.2015,143'000,772,Automatikgetriebe,Elektro,8340 Hinwil,2023-11-22,TESLA ,Model ,Model S ,,FALSE
"5447",5447,VW T-Roc 2.0 TSI R-Line DSG 4Motion,43490,12.2022,27'000,190,Handschaltung,Benzin,8634 Hombrechtikon,2023-11-22,VW ,T-Roc ,T-Roc 2.0 ,,FALSE
"5448",5448,LAND ROVER Defender 110 SW 2.5 Td5,28000,08.2000,250'000,122,Handschaltung,Diesel,5620 Bremgarten,2023-11-22,LAND ,ROVER ,ROVER Defender ,,FALSE
"5449",5449,VW Polo 1.8 TSI GTI,17499,05.2017,63'000,192,Handschaltung,Benzin,3036 Detligen ,2023-11-22,VW ,Polo ,Polo 1.8 ,,FALSE
"5450",5450,AUDI RS3 Limousine 2.5 TSI quattro S-tronic,69900,01.2022,21'700,400,Automatikgetriebe,Benzin,2830 Courrendlin,2023-11-22,AUDI ,RS3 ,RS3 Limousine ,,FALSE
"5451",5451,HYUNDAI i10 1.0 T-GDI N Line,23900,Vorführmodell,6'500,100,Handschaltung,Benzin,4053 Basel,2023-11-22,HYUNDAI ,i10 ,i10 1.0 ,,FALSE
"5452",5452,MERCEDES-BENZ GLA 35 AMG 4Matic 8G-Speedshift DCT,81700,Neues Fahrzeug,20,306,Automatikgetriebe,Benzin,6438 Ibach-Schwyz,2023-11-22,MERCEDES-BENZ ,GLA ,GLA 35 ,,FALSE
"5453",5453,PEUGEOT 3008 300e Hybrid4 GT EAT8,49900,Neues Fahrzeug,100,300,Automatikgetriebe,Hybrid,6852 Genestrerio,2023-11-22,PEUGEOT ,3008 ,3008 300e ,,FALSE
"5454",5454,FORD TOURNEO CONNECT ECT 2.0 EcoBlue 122 PS ACTIVE 4x4,38990,Neues Fahrzeug,50,122,Handschaltung,Diesel,6210 Sursee,2023-11-22,FORD ,TOURNEO ,TOURNEO CONNECT ,,FALSE
"5455",5455,VOLVO XC40 E80 Twin Ultimate AWD,63500,Vorführmodell,714,408,Automatikgetriebe,Elektro,3073 Gümligen,2023-11-22,VOLVO ,XC40 ,XC40 E80 ,,FALSE
"5456",5456,VOLVO XC90 2.0 B5 MH Inscription 7P. AWD,55900,12.2019,54'038,,Automatikgetriebe,,3073 Gümligen,2023-11-22,VOLVO ,XC90 ,XC90 2.0 ,,FALSE
"5457",5457,VOLVO XC40 1.5 T5 TE Inscription,41900,11.2021,30'656,180,Automatikgetriebe,Hybrid,3073 Gümligen,2023-11-22,VOLVO ,XC40 ,XC40 1.5 ,,FALSE
"5458",5458,NISSAN Qashqai 1.7 dCi Tekna 4x4,23500,08.2019,78'530,150,Automatikgetriebe,Diesel,3073 Gümligen,2023-11-22,NISSAN ,Qashqai ,Qashqai 1.7 ,,FALSE
"5459",5459,VOLVO XC40 2.0 B3 MH Plus Dark,42900,01.2023,20'906,163,Automatikgetriebe,Benzin,3073 Gümligen,2023-11-22,VOLVO ,XC40 ,XC40 2.0 ,,FALSE
"5460",5460,AUDI RS5 Cabriolet 4.2 V8 FSI quattro S-Tronic,39450,10.2013,113'900,450,Automatikgetriebe,Benzin,6330 Cham,2023-11-22,AUDI ,RS5 ,RS5 Cabriolet ,,FALSE
